PartNumber,ASIN,Title,URL,Bullets,CharCount
178-8344,B003ULUTPM,Beck/Arnley 178-8344 Direct Ignition Coil,https://www.amazon.com/dp/B003ULUTPM,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8347,B004VLF072,Beck/Arnley 178-8347 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8347-Direct-Ignition/dp/B004VLF072,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8348,B004VLF0BI,Beck/Arnley 178-8348 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8348-Direct-Ignition/dp/B004VLF0BI,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8350,B003ULUTT8,Beck/Arnley 178-8350 Direct Ignition Coil,https://www.amazon.com/dp/B003ULUTT8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8353,B003ULUTWA,Beck/Arnley 178-8353 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8353-Direct-Ignition/dp/B003ULUTWA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8354,B003ULT84U,Beck/Arnley 178-8354 Direct Ignition Coil,https://www.amazon.com/dp/B003ULT84U,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8358,B004DVCW9Y,Beck/Arnley 178-8358 Direct Ignition Coil,https://www.amazon.com/dp/B004DVCW9Y,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8359,B004DVI1M6,Beck/Arnley 178-8359 Direct Ignition Coil,https://www.amazon.com/dp/B004DVI1M6,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8360,B004EPU9YE,Beck/Arnley 178-8360 Ignition Coil Pack,https://www.amazon.com/Beck-Arnley-178-8360-Ignition-Coil/dp/B004EPU9YE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8363,B004DVATJ4,Beck/Arnley 178-8363 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8363-Direct-Ignition/dp/B004DVATJ4,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8364,B004DVI1RQ,Beck/Arnley 178-8364 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8364-Direct-Ignition/dp/B004DVI1RQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8365,B004VLMN1S,Beck/Arnley 178-8365 Direct Ignition Coil,https://www.amazon.com/dp/B004VLMN1S,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8367,B004LGHPAW,Beck/Arnley 178-8367 Direct Ignition Coil,https://www.amazon.com/dp/B004LGHPAW,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8368,B004LGHPE8,Beck/Arnley 178-8368 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8368-Direct-Ignition/dp/B004LGHPE8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8370,B004LGJGVS,Beck/Arnley 178-8370 Direct Ignition Coil,https://www.amazon.com/dp/B004LGJGVS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8374,B004LGHPQ6,Beck/Arnley 178-8374 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8374-Direct-Ignition/dp/B004LGHPQ6,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8376,B004LGJH76,Beck/Arnley 178-8376 Direct Ignition Coil,https://www.amazon.com/dp/B004LGJH76,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8379,B004LGHPUC,Beck/Arnley 178-8379 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8379-Direct-Ignition/dp/B004LGHPUC,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8380,B004K0ZAG0,Beck/Arnley 178-8380 Direct Ignition Coil,https://www.amazon.com/dp/B004K0ZAG0,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8381,B004LGCPOS,Beck/Arnley 178-8381 Direct Ignition Coil,https://www.amazon.com/dp/B004LGCPOS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8383,B004K0W1HQ,Beck/Arnley 178-8383 Direct Ignition Coil,https://www.amazon.com/dp/B004K0W1HQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8384,B004K0TPZ2,Beck/Arnley 178-8384 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8384-Direct-Ignition/dp/B004K0TPZ2,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8386,B004ZQN3DQ,Beck/Arnley 178-8386 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8386-Direct-Ignition/dp/B004ZQN3DQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8387,B004LGHPYS,Beck/Arnley 178-8387 Direct Ignition Coil,https://www.amazon.com/dp/B004LGHPYS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8388,B004K0W1XA,Beck/Arnley 178-8388 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8388-Direct-Ignition/dp/B004K0W1XA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8389,B004LGGPRQ,Beck/Arnley 178-8389 Direct Ignition Coil,https://www.amazon.com/dp/B004LGGPRQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8390,B004LGEP0K,Beck/Arnley 178-8390 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8390-Direct-Ignition/dp/B004LGEP0K,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8392,B004K0RVKI,Beck/Arnley 178-8392 Direct Ignition Coil,https://www.amazon.com/dp/B004K0RVKI,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8395,B004MFG0HG,Beck/Arnley 178-8395 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8395-Direct-Ignition/dp/B004MFG0HG,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8397,B004VLF0VI,Beck/Arnley 178-8397 Direct Ignition Coil,https://www.amazon.com/dp/B004VLF0VI,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8399,B005F9HPZY,Beck/Arnley 178-8399 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8399-Direct-Ignition/dp/B005F9HPZY,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8407,B005BNXX82,Beck/Arnley 178-8407 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8407-Direct-Ignition/dp/B005BNXX82,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8408,B005LOXEYY,Beck/Arnley 178-8408 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8408-Direct-Ignition/dp/B005LOXEYY,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8411,B0063OR6SQ,Beck/Arnley 178-8411 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8411-Direct-Ignition/dp/B0063OR6SQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8412,B005F9HQQ2,Beck/Arnley 178-8412 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8412-Direct-Ignition/dp/B005F9HQQ2,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8414,B005VNWJIW,Beck/Arnley 178-8414 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8414-Direct-Ignition/dp/B005VNWJIW,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8415,B005VZXXNA,Beck/Arnley 178-8415 Direct Ignition Coil,https://www.amazon.com/dp/B005VZXXNA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8416,B005VNWKDQ,Beck/Arnley 178-8416 Direct Ignition Coil,https://www.amazon.com/dp/B005VNWKDQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8417,B005F9HQXU,Beck/Arnley 178-8417 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8417-Direct-Ignition/dp/B005F9HQXU,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8419,B005F9HR3Y,Beck/Arnley 178-8419 Direct Ignition Coil,https://www.amazon.com/dp/B005F9HR3Y,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8424,B005VNWKEU,Beck/Arnley 178-8424 Direct Ignition Coil,https://www.amazon.com/dp/B005VNWKEU,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8425,B0063OR6PE,Beck/Arnley 178-8425 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8425-Direct-Ignition/dp/B0063OR6PE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8427,B005VZXXPS,Beck/Arnley 178-8427 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8427-Direct-Ignition/dp/B005VZXXPS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8429,B005VNWKEK,Beck/Arnley 178-8429 Direct Ignition Coil,https://www.amazon.com/dp/B005VNWKEK,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8431,B005VNWLKS,Beck/Arnley 178-8431 Direct Ignition Coil,https://www.amazon.com/dp/B005VNWLKS,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8434,B006I26JNQ,Beck/Arnley 178-8434 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8434-Direct-Ignition/dp/B006I26JNQ,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8435,B00B5833P0,Beck/Arnley 178-8435 Direct Ignition Coil,https://www.amazon.com/dp/B00B5833P0,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8436,B006I26JFE,Beck/Arnley 178-8436 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8436-Direct-Ignition/dp/B006I26JFE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8437,B006I26KYE,Beck/Arnley 178-8437 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8437-Direct-Ignition/dp/B006I26KYE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8440,B005VZXXSA,Beck/Arnley 178-8440 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8440-Direct-Ignition/dp/B005VZXXSA,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8445,B006I26KTE,Beck/Arnley 178-8445 Direct Ignition Coil,https://www.amazon.com/dp/B006I26KTE,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8446,B009B3V6G4,Beck/Arnley 178-8446 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8446-Direct-Ignition/dp/B009B3V6G4,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8447,B009B3V6NC,Beck/Arnley 178-8447 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8447-Direct-Ignition/dp/B009B3V6NC,Item Package Dimension: 7.51L x 4.72W x 3.58H inches | Item Package Weight - 1.85 Pounds | Item Package Quantity - 1 | Product Type - IGNITION COIL,144
178-8453,B009B3V96Q,Beck/Arnley 178-8453 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8453-Direct-Ignition/dp/B009B3V96Q,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8462,B009B3VBYG,Beck/Arnley 178-8462 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8462-Direct-Ignition/dp/B009B3VBYG,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8463,B009B3VCB8,Beck/Arnley 178-8463 Direct Ignition Coil,https://www.amazon.com/dp/B009B3VCB8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8471,B009B3VEJ8,Beck/Arnley 178-8471 Direct Ignition Coil,https://www.amazon.com/dp/B009B3VEJ8,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
178-8472,B009B3VEQ6,Beck/Arnley 178-8472 Direct Ignition Coil,https://www.amazon.com/Beck-Arnley-178-8472-Direct-Ignition/dp/B009B3VEQ6,"Matches OE form, fit and function | Made from premium materials to withstand high temperatures | Primary and secondary windings made from copper | Out of the box and straight onto the vehicle for easy installation | Application specific for this vehicle",249
